file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\ReaperPlugin.java,org.elasticsearch.gradle.ReaperPlugin,class,6,8,2,6,4,1,0,16,0,0.33333334,1.0,1.0,3,1,2,0,0,1,3,0,0,0,2,1,1,1,0,0,2,0,2,22,0,0,1,0,0,5,0,3,1,4,1,0,0,1,52,1,0
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\distribution\IntegTestZipElasticsearchDistributionType.java,org.elasticsearch.gradle.distribution.IntegTestZipElasticsearchDistributionType,class,1,2,1,1,3,1,0,0,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\Architecture.java,org.elasticsearch.gradle.Architecture,enum,1,6,5,1,2,1,0,1,1,0.5,0.0,0.0,2,1,1,0,0,1,2,0,0,0,2,0,2,0,0,0,2,0,1,11,1,0,0,0,0,6,0,3,0,3,0,0,0,0,13,1,0
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\testclusters\TestDistribution.java,org.elasticsearch.gradle.testclusters.TestDistribution,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\testclusters\TestClustersAware.java,org.elasticsearch.gradle.testclusters.TestClustersAware,interface,11,17,6,11,13,1,0,22,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,39,0,4,1,0,0,7,4,4,3,4,2,0,0,3,58,1,0
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\PropertyNormalization.java,org.elasticsearch.gradle.PropertyNormalization,enum,0,7,7,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\testclusters\ElasticsearchNode.java,org.elasticsearch.gradle.testclusters.ElasticsearchNode$LinkCreationException,innerclass,0,0,0,0,1,5,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\testclusters\TestClustersException.java,org.elasticsearch.gradle.testclusters.TestClustersException,class,0,4,4,0,3,4,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
C:\MetricsTest\elasticsearch-main\build-tools\reaper\src\main\java\org\elasticsearch\gradle\reaper\Reaper.java,org.elasticsearch.gradle.reaper.Reaper,class,1,2,1,1,14,1,0,29,3,0.4166667,0.0,0.0,6,1,2,4,0,0,2,0,0,0,2,0,0,2,0,0,0,0,8,71,0,1,4,4,0,12,4,12,4,12,3,0,0,1,111,1,0
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\dependencies\CompileOnlyResolvePlugin.java,org.elasticsearch.gradle.dependencies.CompileOnlyResolvePlugin,class,3,4,1,3,2,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,17,0,0,0,0,0,1,0,2,0,4,3,0,0,2,31,1,0
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\DistributionDependency.java,org.elasticsearch.gradle.DistributionDependency$StringBasedDistributionDependency,innerclass,1,1,0,1,3,1,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,10,0,0
C:\MetricsTest\elasticsearch-main\build-tools\src\testFixtures\java\org\elasticsearch\gradle\internal\test\JarUtils.java,org.elasticsearch.gradle.internal.test.JarUtils$UncheckedIOFunction,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
C:\MetricsTest\elasticsearch-main\build-tools\src\testFixtures\java\org\elasticsearch\gradle\internal\test\TestResultExtension.java,org.elasticsearch.gradle.internal.test.TestResultExtension,class,4,4,0,4,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0
C:\MetricsTest\elasticsearch-main\build-tools\src\testFixtures\java\org\elasticsearch\plugin\scanner\test_classes\ImplementingExtensible.java,org.elasticsearch.plugin.scanner.test_classes.ImplementingExtensible,class,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
