file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\ReaperPlugin.java,org.elasticsearch.gradle.ReaperPlugin,apply/1[org.elasticsearch.gradle.Project],false,36,2,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\ReaperPlugin.java,org.elasticsearch.gradle.ReaperPlugin,ReaperPlugin/1[org.elasticsearch.gradle.ProjectLayout],true,31,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\ReaperPlugin.java,org.elasticsearch.gradle.ReaperPlugin,"registerReaperService/3[org.elasticsearch.gradle.Project,org.elasticsearch.gradle.ProjectLayout,boolean]",false,40,3,1,1,0,2,15,12,0,2,3,15,0,0,0,1,0,0,4,0,1,1,1,0,0,1,21,9,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\distribution\IntegTestZipElasticsearchDistributionType.java,org.elasticsearch.gradle.distribution.IntegTestZipElasticsearchDistributionType,shouldExtract/0,false,23,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\distribution\IntegTestZipElasticsearchDistributionType.java,org.elasticsearch.gradle.distribution.IntegTestZipElasticsearchDistributionType,IntegTestZipElasticsearchDistributionType/0,true,15,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\distribution\IntegTestZipElasticsearchDistributionType.java,org.elasticsearch.gradle.distribution.IntegTestZipElasticsearchDistributionType,getName/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\Architecture.java,org.elasticsearch.gradle.Architecture,current/0,false,24,1,3,3,0,1,1,4,1,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,9,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\Architecture.java,org.elasticsearch.gradle.Architecture,"Architecture/2[java.lang.String,java.lang.String]",true,19,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\testclusters\TestClustersAware.java,org.elasticsearch.gradle.testclusters.TestClustersAware,getClusters/0,false,23,2,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\testclusters\TestClustersAware.java,org.elasticsearch.gradle.testclusters.TestClustersAware,getRegistery/0,false,26,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\testclusters\TestClustersAware.java,org.elasticsearch.gradle.testclusters.TestClustersAware,useCluster/1[org.elasticsearch.gradle.testclusters.Provider<org.elasticsearch.gradle.testclusters.ElasticsearchCluster>],false,43,2,1,0,1,1,2,3,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,65536,0,false
C:\MetricsTest\elasticsearch-main\build-tools\src\main\java\org\elasticsearch\gradle\testclusters\TestClustersAware.java,org.elasticsearch.gradle.testclusters.TestClustersAware,getTasksService/0,false,29,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,false
