"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.dubbo.registry","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\registry\AddressListener.java","3","38","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Cluster.java","4","56","Unnecessary qualifier 'Cluster': 'DEFAULT' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\ClusterInvoker.java","3","44","This if statement can be replaced by `return !{condition} || {elseBranch};`","Design","SimplifyBooleanReturns"
"2","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\ClusterInvoker.java","3","52","This if statement can be replaced by `return !{condition} || {elseBranch};`","Design","SimplifyBooleanReturns"
"1","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","21","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
"2","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","23","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
"3","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","25","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
"4","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","27","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
"5","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","29","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
"6","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","31","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
"7","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","33","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
"8","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","35","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
"9","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","37","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
"10","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","39","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
"11","org.apache.dubbo.rpc.cluster","C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\Constants.java","3","41","Using constants in interfaces is a bad practice.","Best Practices","ConstantsInInterface"
