"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.alibaba.excel","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\EasyExcelFactory.java","3","19","This utility class has a non-private constructor","Design","UseUtilityClass"
"1","com.alibaba.excel","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\ExcelReader.java","3","119","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"1","com.alibaba.excel","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\ExcelWriter.java","3","168","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"1","com.alibaba.excel.analysis","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\ExcelAnalyserImpl.java","3","59","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"2","com.alibaba.excel.analysis","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\ExcelAnalyserImpl.java","3","77","Ensure that resources like this InputStream object are closed after use","Error Prone","CloseResource"
"3","com.alibaba.excel.analysis","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\ExcelAnalyserImpl.java","3","133","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"4","com.alibaba.excel.analysis","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\ExcelAnalyserImpl.java","3","156","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"5","com.alibaba.excel.analysis","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\ExcelAnalyserImpl.java","3","164","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"6","com.alibaba.excel.analysis","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\ExcelAnalyserImpl.java","3","172","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"7","com.alibaba.excel.analysis","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\ExcelAnalyserImpl.java","3","184","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"8","com.alibaba.excel.analysis","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\ExcelAnalyserImpl.java","3","193","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"9","com.alibaba.excel.analysis","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\ExcelAnalyserImpl.java","3","200","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"1","com.alibaba.excel.analysis.csv","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\csv\CsvExcelReadExecutor.java","4","19","Unused import 'com.alibaba.excel.exception.ExcelAnalysisStopException'","Code Style","UnnecessaryImport"
"1","com.alibaba.excel.analysis.v03","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v03\XlsSaxAnalyser.java","4","15","Unused import 'org.apache.poi.hssf.eventusermodel.dummyrecord.MissingRowDummyRecord'","Code Style","UnnecessaryImport"
"1","com.alibaba.excel.analysis.v03.handlers","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v03\handlers\EofRecordHandler.java","4","7","Unused import 'com.alibaba.excel.analysis.v03.IgnorableXlsRecordHandler'","Code Style","UnnecessaryImport"
"1","com.alibaba.excel.analysis.v03.handlers","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v03\handlers\NumberRecordHandler.java","4","7","Unused import 'com.alibaba.excel.constant.EasyExcelConstants'","Code Style","UnnecessaryImport"
"1","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","4","25","Unused import 'com.alibaba.excel.exception.ExcelAnalysisStopException'","Code Style","UnnecessaryImport"
"2","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","4","36","Unused import 'org.apache.commons.collections4.CollectionUtils'","Code Style","UnnecessaryImport"
"3","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","4","47","Unused import 'org.apache.poi.xssf.model.SharedStringsTable'","Code Style","UnnecessaryImport"
"4","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","4","49","Unused import 'org.apache.poi.xssf.usermodel.XSSFRelation'","Code Style","UnnecessaryImport"
"5","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","3","122","Ensure that resources like this InputStream object are closed after use","Error Prone","CloseResource"
"6","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","3","172","Ensure that resources like this InputStream object are closed after use","Error Prone","CloseResource"
"7","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","3","231","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"8","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","3","231","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"9","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","3","234","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"10","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","3","234","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"11","com.alibaba.excel.analysis.v07","C:\MetricsTest\easyexcel-master\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v07\XlsxSaxAnalyser.java","3","237","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
