"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.facebook.fresco.animation.bitmap.cache","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\fresco\animation\bitmap\cache\FrescoFrameCache.java","3","215","Avoid unused private methods such as 'getBitmapSizeBytes(CloseableImage)'.","Best Practices","UnusedPrivateMethod"
"1","com.facebook.fresco.animation.factory","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\fresco\animation\factory\DefaultBitmapAnimationDrawableFactory.java","3","83","This final field could be made static","Design","FinalFieldCouldBeStatic"
"2","com.facebook.fresco.animation.factory","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\fresco\animation\factory\DefaultBitmapAnimationDrawableFactory.java","4","121","Useless parentheses.","Code Style","UselessParentheses"
"3","com.facebook.fresco.animation.factory","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\fresco\animation\factory\DefaultBitmapAnimationDrawableFactory.java","4","138","Useless parentheses.","Code Style","UselessParentheses"
"1","com.facebook.imagepipeline.animated.base","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\imagepipeline\animated\base\AnimatedDrawableOptions.java","4","19","Unnecessary qualifier 'AnimatedDrawableOptions': 'newBuilder' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","com.facebook.imagepipeline.animated.factory","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\imagepipeline\animated\factory\AnimatedImageFactory.java","1","28","Final parameter in abstract method","Code Style","FinalParameterInAbstractMethod"
"2","com.facebook.imagepipeline.animated.factory","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\imagepipeline\animated\factory\AnimatedImageFactory.java","1","41","Final parameter in abstract method","Code Style","FinalParameterInAbstractMethod"
"1","com.facebook.imagepipeline.animated.factory","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\imagepipeline\animated\factory\AnimatedImageFactoryImpl.java","3","49","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"1","com.facebook.imagepipeline.animated.impl","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\imagepipeline\animated\impl\AnimatedDrawableBackendImpl.java","4","347","Use one line for each declaration, it enhances code readability.","Best Practices","OneDeclarationPerLine"
"1","com.facebook.imagepipeline.animated.impl","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\imagepipeline\animated\impl\AnimatedFrameCache.java","3","87","Avoid using implementation types like 'LinkedHashSet'; use the interface instead","Best Practices","LooseCoupling"
"1","com.facebook.imagepipeline.animated.impl","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\imagepipeline\animated\impl\AnimatedImageCompositor.java","3","248","This if statement can be replaced by `return {condition} || {elseBranch};`","Design","SimplifyBooleanReturns"
"2","com.facebook.imagepipeline.animated.impl","C:\MetricsTest\fresco-main\animated-base\src\main\java\com\facebook\imagepipeline\animated\impl\AnimatedImageCompositor.java","3","251","This statement should have braces","Code Style","ControlStatementBraces"
"1","com.facebook.fresco.animation.bitmap.cache","C:\MetricsTest\fresco-main\animated-base\src\test\java\com\facebook\fresco\animation\bitmap\cache\FrescoFrameCacheTest.java","1","69","The JUnit 4 test method name 'testExtractAndClose_whenBitmapRecycled_thenReturnReference' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"2","com.facebook.fresco.animation.bitmap.cache","C:\MetricsTest\fresco-main\animated-base\src\test\java\com\facebook\fresco\animation\bitmap\cache\FrescoFrameCacheTest.java","1","84","The JUnit 4 test method name 'testExtractAndClose_whenBitmapReferenceInvalid_thenReturnReference' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
