"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JCommanderWrapper.java","3","54","This if statement can be replaced by `return !{condition} || {elseBranch};`","Design","SimplifyBooleanReturns"
"2","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JCommanderWrapper.java","3","95","Ensure that resources like this PrintStream object are closed after use","Error Prone","CloseResource"
"3","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JCommanderWrapper.java","3","127","Ensure that resources like this PrintStream object are closed after use","Error Prone","CloseResource"
"4","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JCommanderWrapper.java","3","208","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLI.java","3","16","This utility class has a non-private constructor","Design","UseUtilityClass"
"2","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLI.java","2","24","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLI.java","3","26","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"4","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLI.java","3","71","Switch statements should be exhaustive, add a default case (or missing enum branches)","Best Practices","SwitchStmtsShouldHaveDefault"
"1","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLIArgs.java","3","307","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"2","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLIArgs.java","3","551","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"3","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLIArgs.java","3","554","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"4","jadx.cli","C:\MetricsTest\jadx-master\jadx-cli\src\main\java\jadx\cli\JadxCLIArgs.java","3","562","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
