"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","androidx.fragment.app","C:\MetricsTest\NewPipe-dev\app\src\main\java\androidx\fragment\app\FragmentStatePagerAdapterMenuWorkaround.java","3","94","Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"2","androidx.fragment.app","C:\MetricsTest\NewPipe-dev\app\src\main\java\androidx\fragment\app\FragmentStatePagerAdapterMenuWorkaround.java","3","95","Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"3","androidx.fragment.app","C:\MetricsTest\NewPipe-dev\app\src\main\java\androidx\fragment\app\FragmentStatePagerAdapterMenuWorkaround.java","3","279","This final field could be made static","Design","FinalFieldCouldBeStatic"
"1","com.google.android.material.appbar","C:\MetricsTest\NewPipe-dev\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java","3","120","You should not modify visibility of constructors, methods or fields using setAccessible()","Error Prone","AvoidAccessibilityAlteration"
"2","com.google.android.material.appbar","C:\MetricsTest\NewPipe-dev\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java","4","121","Useless parentheses.","Code Style","UselessParentheses"
"3","com.google.android.material.appbar","C:\MetricsTest\NewPipe-dev\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java","3","123","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","com.google.android.material.appbar","C:\MetricsTest\NewPipe-dev\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java","3","136","You should not modify visibility of constructors, methods or fields using setAccessible()","Error Prone","AvoidAccessibilityAlteration"
"5","com.google.android.material.appbar","C:\MetricsTest\NewPipe-dev\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java","3","139","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","com.google.android.material.appbar","C:\MetricsTest\NewPipe-dev\app\src\main\java\com\google\android\material\appbar\FlingBehavior.java","3","153","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.schabi.newpipe","C:\MetricsTest\NewPipe-dev\app\src\main\java\org\schabi\newpipe\BaseFragment.java","3","76","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"2","org.schabi.newpipe","C:\MetricsTest\NewPipe-dev\app\src\main\java\org\schabi\newpipe\BaseFragment.java","3","95","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"3","org.schabi.newpipe","C:\MetricsTest\NewPipe-dev\app\src\main\java\org\schabi\newpipe\BaseFragment.java","3","106","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","org.schabi.newpipe","C:\MetricsTest\NewPipe-dev\app\src\main\java\org\schabi\newpipe\MainActivity.java","3","104","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"2","org.schabi.newpipe","C:\MetricsTest\NewPipe-dev\app\src\main\java\org\schabi\newpipe\MainActivity.java","3","270","Avoid unused private methods such as 'drawerItemSelected(MenuItem)'.","Best Practices","UnusedPrivateMethod"
"3","org.schabi.newpipe","C:\MetricsTest\NewPipe-dev\app\src\main\java\org\schabi\newpipe\MainActivity.java","3","336","Switch statements should be exhaustive, add a default case (or missing enum branches)","Best Practices","SwitchStmtsShouldHaveDefault"
"4","org.schabi.newpipe","C:\MetricsTest\NewPipe-dev\app\src\main\java\org\schabi\newpipe\MainActivity.java","3","442","Document empty method body","Documentation","UncommentedEmptyMethodBody"
