"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.xxl.job.admin","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\XxlJobAdminApplication.java","3","10","This utility class has a non-private constructor","Design","UseUtilityClass"
"1","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\IndexController.java","3","50","Consider simply returning the value vs storing it in local variable 'chartInfo'","Code Style","UnnecessaryLocalBeforeReturn"
"2","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\IndexController.java","3","68","This conditional expression can be simplified with || or &&","Design","SimplifiedTernary"
"1","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobCodeController.java","4","61","Useless parentheses.","Code Style","UselessParentheses"
"2","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobCodeController.java","1","66","The local variable name 'exists_jobInfo' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"1","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobGroupController.java","1","53","The local variable name 'list_count' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"2","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobGroupController.java","4","70","Useless parentheses.","Code Style","UselessParentheses"
"3","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobGroupController.java","4","79","Useless parentheses.","Code Style","UselessParentheses"
"4","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobGroupController.java","4","113","Useless parentheses.","Code Style","UselessParentheses"
"5","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobGroupController.java","4","119","Useless parentheses.","Code Style","UselessParentheses"
"6","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobGroupController.java","3","155","Avoid using implementation types like 'HashMap'; use the interface instead","Best Practices","LooseCoupling"
"1","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobInfoController.java","1","56","The local variable name 'jobGroupList_all' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"2","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobInfoController.java","3","60","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"3","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobInfoController.java","1","70","The method parameter name 'jobGroupList_all' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FormalParameterNamingConventions"
"4","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobInfoController.java","3","72","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"5","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobInfoController.java","2","165","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobInfoController.java","4","166","Useless parentheses.","Code Style","UselessParentheses"
"1","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobLogController.java","1","56","The local variable name 'jobGroupList_all' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"2","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobLogController.java","3","60","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"3","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobLogController.java","1","112","The local variable name 'list_count' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"4","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobLogController.java","3","126","Avoid unused local variables such as 'logStatue'.","Best Practices","UnusedLocalVariable"
"5","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobLogController.java","2","168","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobLogController.java","2","192","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"7","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobLogController.java","3","238","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"8","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\JobLogController.java","3","241","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"1","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\UserController.java","1","57","The local variable name 'list_count' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"2","com.xxl.job.admin.controller","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\UserController.java","3","60","Substitute calls to size() == 0 (or size() != 0, size() > 0, size() < 1) with calls to isEmpty()","Best Practices","UseCollectionIsEmpty"
"1","com.xxl.job.admin.controller.interceptor","C:\MetricsTest\xxl-job-master\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\interceptor\CookieInterceptor.java","3","28","Avoid using implementation types like 'HashMap'; use the interface instead","Best Practices","LooseCoupling"
